O*NET-SOC CODE	TITLE	TASKS
35-2021.00	Food Preparation Workers	Butchers and cleans fowl, fish, poultry, and shellfish to prepare for cooking or serving.
35-2021.00	Food Preparation Workers	Requisitions, stores, and distributes food supplies, equipment, and utensils.
35-2021.00	Food Preparation Workers	Distributes food to waiters and waitresses to serve to customers.
35-2021.00	Food Preparation Workers	Carries food supplies, equipment, and utensils to and from storage and work areas.
35-2021.00	Food Preparation Workers	Portions and arranges food on serving dishes, trays, carts, or conveyor belts.
35-2021.00	Food Preparation Workers	Cleans, cuts, slices, or disjoints meats and poultry to prepare for cooking.
35-2021.00	Food Preparation Workers	Prepares and serves variety of beverages, such as coffee, tea, and soft drinks.
35-2021.00	Food Preparation Workers	Prepares variety of foods according to customers' orders or instructions of superior, following approved procedures.
35-3011.00	Bartenders	Mixes ingredients, such as liquor, soda, water, sugar, and bitters, to prepare cocktails and other drinks.
35-3011.00	Bartenders	Arranges bottles and glasses to make attractive display.
35-3011.00	Bartenders	Slices and pits fruit for garnishing drinks.
35-3011.00	Bartenders	Orders or requisitions liquors and supplies.
35-3011.00	Bartenders	Prepares appetizers, such as pickles, cheese, and cold meats.
35-3011.00	Bartenders	Cleans glasses, utensils, and bar equipment.
35-3011.00	Bartenders	Collects money for drinks served.
35-3011.00	Bartenders	Serves wine and draft or bottled beer.
35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food	Selects food items from serving or storage areas and places food and beverage items on serving tray or in takeout bag.
35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food	Notifies kitchen personnel of shortages or special orders.
35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food	Receives payment.
35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food	Requests and records customer order and computes bill.
35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food	Makes and serves hot and cold beverages or desserts.
35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food	Cooks or re-heats food items, such as french fries.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Serves food, beverages, or desserts to customers in variety of settings, such as take out counter of restaurant or lunchroom.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Serves salads, vegetables, meat, breads, and cocktails, ladles soups and sauces, portions desserts, and fills beverage cups and glasses.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Orders items to replace stocks.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Scrubs and polishes counters, steamtables, and other equipment, and cleans glasses, dishes, and fountain equipment and polishes metalwork on fountain.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Adds relishes and garnishes according to instructions.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Carves meat.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Prepares sandwiches, salads, and other shortorder items.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Accepts payment for food, using cash register or adding machine to total check.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Wraps menu items, such as sandwiches, hot entrees, and desserts.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Brews coffee and tea and fills containers with requested beverages.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Prepares and serves soft drinks and ice cream dishes, such as sundaes, using memorized formulas and methods of following directions.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Replenishes foods at serving stations.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Serves sandwiches, salads, beverages, desserts, and candies to employees in industrial establishment.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Writes items ordered on tickets, totals orders, passes orders to cook, and gives ticket stubs to customers to identify filled orders.
35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	Calls order to kitchen and picks up and serves order when it is ready.
35-3031.00	Waiters and Waitresses	Takes order from patron for food or beverage, writing order down or memorizing it.
35-3031.00	Waiters and Waitresses	Observes patrons to respond to additional requests, and to determine when meal has been completed or beverage consumed.
35-3031.00	Waiters and Waitresses	Presents menu to patron, suggests food or beverage selections, and answers questions regarding preparation and service.
35-3031.00	Waiters and Waitresses	Obtains and replenishes supplies of food, tableware, and linen.
35-3031.00	Waiters and Waitresses	Computes cost of meal or beverage.
35-3031.00	Waiters and Waitresses	Serves, or assists patrons to serve themselves, at buffet or smorgasbord table.
35-3031.00	Waiters and Waitresses	Serves meals or beverages to patrons.
35-3031.00	Waiters and Waitresses	Relays order to kitchen, or enters order into computer.
35-3031.00	Waiters and Waitresses	Accepts payment and returns change, or refers patron to Cashier.
35-3031.00	Waiters and Waitresses	Removes dishes and glasses from table or counter and takes them to kitchen for cleaning.
35-3031.00	Waiters and Waitresses	Prepares hot, cold, and mixed drinks for patrons, and chills bottles of wine.
35-3031.00	Waiters and Waitresses	Cleans and arranges assigned station, including side stands, chairs, and table pieces, such as linen, silverware, and glassware.
35-3031.00	Waiters and Waitresses	Prepares salads, appetizers, and cold dishes, portions desserts, brews coffee, and performs other services as determined by establishment's size and practices.
35-3031.00	Waiters and Waitresses	Fills salt, pepper, sugar, cream, condiment, and napkin containers.
35-3031.00	Waiters and Waitresses	Carves meats, bones fish and fowl, and prepares special dishes and desserts at work station or patron's table.
35-3031.00	Waiters and Waitresses	Garnishes and decorates dishes preparatory to serving.
35-3041.00	Food Servers, Nonrestaurant	Prepares and delivers food trays.
35-3041.00	Food Servers, Nonrestaurant	Washes dishes and cleans work area, tables, cabinets, and ovens; and sweeps service area with broom.
35-3041.00	Food Servers, Nonrestaurant	Restocks service counter with items, such as ice, napkins, and straws.
35-3041.00	Food Servers, Nonrestaurant	Totals and presents check to customer and accepts payment for service.
35-3041.00	Food Servers, Nonrestaurant	Records amount and types of special food items served to customers.
